number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_l2,params_learning_rate,params_n_layers,params_units_0,params_units_1,params_units_2,params_units_3,params_units_4,user_attrs_epochs_trained,user_attrs_train_auc_final,user_attrs_val_auc_best,system_attrs_tpe:relative_params:0,state
44,0.7846871614456177,2026-09-10 13:47:14.944672,2026-09-10 13:51:11.383434,0 days 00:03:56.438762,relu,1024,0.28523280844773097,1.634234166318327e-05,0.0003977699594989751,2,256,256,,,,18.0,0.7642549276351929,0.7846871614456177,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.28523280844773097, ""l2"": 1.634234166318327e-05, ""learning_rate"": 0.0003977699594989751, ""n_layers"": 2, ""units_0"": 256, ""units_1"": 256}",COMPLETE
45,0.7827633023262024,2026-09-10 13:51:11.419025,2026-09-10 13:55:14.566008,0 days 00:04:03.146983,relu,1024,0.2940512512766551,0.0003366417289764582,0.00027640231226753006,2,256,256,,,,17.0,0.7578389048576355,0.7827633023262024,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.2940512512766551, ""l2"": 0.0003366417289764582, ""learning_rate"": 0.00027640231226753006, ""n_layers"": 2, ""units_0"": 256, ""units_1"": 256}",COMPLETE
46,0.7851012349128723,2026-09-10 13:55:14.595130,2026-09-10 13:57:17.448219,0 days 00:02:02.853089,relu,1024,0.27197769453333653,0.0005426727891889619,0.003034206128094583,2,256,256,,,,8.0,0.7530577182769775,0.7851012349128723,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.27197769453333653, ""l2"": 0.0005426727891889619, ""learning_rate"": 0.003034206128094583, ""n_layers"": 2, ""units_0"": 256, ""units_1"": 256}",COMPLETE
47,0.7824156284332275,2026-09-10 13:57:17.473459,2026-09-10 14:00:14.033529,0 days 00:02:56.560070,relu,1024,0.3448673748039665,2.474771716623386e-06,0.0009237482004829865,2,256,256,,,,13.0,0.7633815407752991,0.7824156284332275,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.3448673748039665, ""l2"": 2.474771716623386e-06, ""learning_rate"": 0.0009237482004829865, ""n_layers"": 2, ""units_0"": 256, ""units_1"": 256}",COMPLETE
48,0.7836833000183105,2026-09-10 14:00:14.069913,2026-09-10 14:02:22.497123,0 days 00:02:08.427210,relu,1024,0.29153310048827413,1.064341871310391e-05,0.002703411145896091,2,256,256,,,,10.0,0.7640085816383362,0.7836833000183105,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.29153310048827413, ""l2"": 1.064341871310391e-05, ""learning_rate"": 0.002703411145896091, ""n_layers"": 2, ""units_0"": 256, ""units_1"": 256}",COMPLETE
49,0.7817038297653198,2026-09-10 14:02:22.523362,2026-09-10 14:04:13.944514,0 days 00:01:51.421152,relu,1024,0.37349434139596766,5.00285423839955e-06,0.004474224359975459,2,256,256,,,,8.0,0.7624742388725281,0.7817038297653198,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.37349434139596766, ""l2"": 5.00285423839955e-06, ""learning_rate"": 0.004474224359975459, ""n_layers"": 2, ""units_0"": 256, ""units_1"": 256}",COMPLETE
50,0.7791996002197266,2026-09-10 14:04:13.971363,2026-09-10 14:06:37.375127,0 days 00:02:23.403764,relu,1024,0.2471895609244188,5.838226744306943e-05,0.001158624729774181,3,256,256,256.0,,,8.0,0.7584265470504761,0.7791996002197266,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.2471895609244188, ""l2"": 5.838226744306943e-05, ""learning_rate"": 0.001158624729774181, ""n_layers"": 3, ""units_0"": 256, ""units_1"": 256}",COMPLETE
51,0.783056378364563,2026-09-10 14:06:37.399959,2026-09-10 14:12:15.325351,0 days 00:05:37.925392,relu,1024,0.24708278608300144,7.224865886079798e-05,0.00012306456654630863,3,256,256,64.0,,,23.0,0.7544899582862854,0.783056378364563,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.24708278608300144, ""l2"": 7.224865886079798e-05, ""learning_rate"": 0.00012306456654630863, ""n_layers"": 3, ""units_0"": 256, ""units_1"": 256}",COMPLETE
52,0.7859423160552979,2026-09-10 14:12:15.359053,2026-09-10 14:14:32.682088,0 days 00:02:17.323035,relu,1024,0.24810739255241768,1.9198108762786342e-05,0.00305510600980437,2,256,256,,,,9.0,0.7642731070518494,0.7859423160552979,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.24810739255241768, ""l2"": 1.9198108762786342e-05, ""learning_rate"": 0.00305510600980437, ""n_layers"": 2, ""units_0"": 256, ""units_1"": 256}",COMPLETE
53,0.7823676466941833,2026-09-10 14:14:32.706399,2026-09-10 14:16:36.609547,0 days 00:02:03.903148,relu,1024,0.2265838262008228,2.7737317224558185e-05,0.0035282713177384453,2,256,256,,,,10.0,0.7644902467727661,0.7823676466941833,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.2265838262008228, ""l2"": 2.7737317224558185e-05, ""learning_rate"": 0.0035282713177384453, ""n_layers"": 2, ""units_0"": 256, ""units_1"": 256}",COMPLETE
54,0.7821238040924072,2026-09-10 14:16:36.636065,2026-09-10 14:18:04.525580,0 days 00:01:27.889515,relu,1024,0.35850441614650297,2.6651667727531334e-05,0.00032192091108643113,2,128,256,,,,9.0,0.7481992840766907,0.7821238040924072,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.35850441614650297, ""l2"": 2.6651667727531334e-05, ""learning_rate"": 0.00032192091108643113, ""n_layers"": 2, ""units_0"": 128, ""units_1"": 256}",COMPLETE
55,0.7812920808792114,2026-09-10 14:18:04.581870,2026-09-10 14:20:42.118547,0 days 00:02:37.536677,relu,1024,0.43643601608585103,2.2293157244359254e-06,0.0014412819946917075,2,256,256,,,,13.0,0.7642027139663696,0.7812920808792114,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.43643601608585103, ""l2"": 2.2293157244359254e-06, ""learning_rate"": 0.0014412819946917075, ""n_layers"": 2, ""units_0"": 256, ""units_1"": 256}",COMPLETE
56,0.7815202474594116,2026-09-10 14:20:42.147956,2026-09-10 14:22:37.777234,0 days 00:01:55.629278,relu,1024,0.22722742961328052,3.584999949781077e-06,0.009035310302689373,3,256,256,256.0,,,6.0,0.7589268088340759,0.7815202474594116,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.22722742961328052, ""l2"": 3.584999949781077e-06, ""learning_rate"": 0.009035310302689373, ""n_layers"": 3, ""units_0"": 256, ""units_1"": 256}",COMPLETE
57,0.7857251167297363,2026-09-10 14:22:37.805795,2026-09-10 14:25:06.852059,0 days 00:02:29.046264,relu,1024,0.2633042001848567,2.0756110307233775e-05,0.0013661789118394627,2,256,32,,,,19.0,0.769494354724884,0.7857251167297363,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.2633042001848567, ""l2"": 2.0756110307233775e-05, ""learning_rate"": 0.0013661789118394627, ""n_layers"": 2, ""units_0"": 256, ""units_1"": 32}",COMPLETE
